skill_id	level	name	desc	param1	param2	icon
30005	4	追击	普攻击杀敌人后，随机追击一名敌人，造成{p1}%的伤害；继续击杀可重复触发	105	0	res://asserts/image/ui/skill/attack_pursue.png
30005	5	追击	普攻击杀敌人后，随机追击一名敌人，造成{p1}%的伤害；继续击杀可重复触发	120	0	res://asserts/image/ui/skill/attack_pursue.png
30006	1	闪避	被普攻时提高自身{p1}%的闪避率	10	0	res://asserts/image/ui/skill/dodge.png
30006	2	闪避	被普攻时提高自身{p1}%的闪避率	15	0	res://asserts/image/ui/skill/dodge.png
30006	3	闪避	被普攻时提高自身{p1}%的闪避率	20	0	res://asserts/image/ui/skill/dodge.png
30006	4	闪避	被普攻时提高自身{p1}%的闪避率	25	0	res://asserts/image/ui/skill/dodge.png
30006	5	闪避	被普攻时提高自身{p1}%的闪避率	30	0	res://asserts/image/ui/skill/dodge.png
30007	1	吸血	普攻造成伤害时，吸取伤害值{p1}%的血量	20	0	res://asserts/image/ui/skill/life_steal.png
30007	2	吸血	普攻造成伤害时，吸取伤害值{p1}%的血量	30	0	res://asserts/image/ui/skill/life_steal.png
30007	3	吸血	普攻造成伤害时，吸取伤害值{p1}%的血量	40	0	res://asserts/image/ui/skill/life_steal.png
30007	4	吸血	普攻造成伤害时，吸取伤害值{p1}%的血量	55	0	res://asserts/image/ui/skill/life_steal.png
30007	5	吸血	普攻造成伤害时，吸取伤害值{p1}%的血量	70	0	res://asserts/image/ui/skill/life_steal.png
30008	1	迅捷	提高自身{p1}的出手速度	20	0	res://asserts/image/ui/skill/swift.png
30008	2	迅捷	提高自身{p1}的出手速度	35	0	res://asserts/image/ui/skill/swift.png
30008	3	迅捷	提高自身{p1}的出手速度	50	0	res://asserts/image/ui/skill/swift.png
30008	4	迅捷	提高自身{p1}的出手速度	70	0	res://asserts/image/ui/skill/swift.png
30008	5	迅捷	提高自身{p1}的出手速度	100	0	res://asserts/image/ui/skill/swift.png
30009	1	隐身	开战前{p1}回合隐身，攻击造成{p2}%的伤害	1	130	res://asserts/image/ui/skill/stealth.png
30009	2	隐身	开战前{p1}回合隐身，攻击造成{p2}%的伤害	2	140	res://asserts/image/ui/skill/stealth.png
30009	3	隐身	开战前{p1}回合隐身，攻击造成{p2}%的伤害	2	150	res://asserts/image/ui/skill/stealth.png
30009	4	隐身	开战前{p1}回合隐身，攻击造成{p2}%的伤害	3	160	res://asserts/image/ui/skill/stealth.png
30009	5	隐身	开战前{p1}回合隐身，攻击造成{p2}%的伤害	3	180	res://asserts/image/ui/skill/stealth.png
30010	1	真视	可看到隐身单位，攻击隐身单位造成{p1}%的额外伤害	50	0	res://asserts/image/ui/skill/true_sight.png
30010	2	真视	可看到隐身单位，攻击隐身单位造成{p1}%的额外伤害	75	0	res://asserts/image/ui/skill/true_sight.png
30010	3	真视	可看到隐身单位，攻击隐身单位造成{p1}%的额外伤害	100	0	res://asserts/image/ui/skill/true_sight.png
30010	4	真视	可看到隐身单位，攻击隐身单位造成{p1}%的额外伤害	130	0	res://asserts/image/ui/skill/true_sight.png
30010	5	真视	可看到隐身单位，攻击隐身单位造成{p1}%的额外伤害	160	0	res://asserts/image/ui/skill/true_sight.png
30011	1	自愈	每回合开始，恢复自身{p1}%的血量	5	0	res://asserts/image/ui/skill/recovery.png
30011	2	自愈	每回合开始，恢复自身{p1}%的血量	7	0	res://asserts/image/ui/skill/recovery.png
30011	3	自愈	每回合开始，恢复自身{p1}%的血量	9	0	res://asserts/image/ui/skill/recovery.png
30011	4	自愈	每回合开始，恢复自身{p1}%的血量	11	0	res://asserts/image/ui/skill/recovery.png
30011	5	自愈	每回合开始，恢复自身{p1}%的血量	13	0	res://asserts/image/ui/skill/recovery.png
40001	1	盾击	普通攻击附带防御力{p1}%的物理伤害	30	0	res://asserts/image/ui/skill/default_10001.png
40001	2	盾击	普通攻击附带防御力{p1}%的物理伤害	50	0	res://asserts/image/ui/skill/default_10001.png
40001	3	盾击	普通攻击附带防御力{p1}%的物理伤害	80	0	res://asserts/image/ui/skill/default_10001.png
40001	4	盾击	普通攻击附带防御力{p1}%的物理伤害	110	0	res://asserts/image/ui/skill/default_10001.png
40001	5	盾击	普通攻击附带防御力{p1}%的物理伤害	150	0	res://asserts/image/ui/skill/default_10001.png
40002	1	鹰眼	普通攻击有{p1}%概率无视闪避	30	0	res://asserts/image/ui/skill/default_10002.png
40002	2	鹰眼	普通攻击有{p1}%概率无视闪避	50	0	res://asserts/image/ui/skill/default_10002.png
40002	3	鹰眼	普通攻击有{p1}%概率无视闪避	70	0	res://asserts/image/ui/skill/default_10002.png
40002	4	鹰眼	普通攻击有{p1}%概率无视闪避	85	0	res://asserts/image/ui/skill/default_10002.png
40002	5	鹰眼	普通攻击有{p1}%概率无视闪避	100	0	res://asserts/image/ui/skill/default_10002.png
40003	1	复苏	每回合末，为血量百分比最低的队友回复{p1}点生命	60	0	res://asserts/image/ui/skill/default_10003.png
40003	2	复苏	每回合末，为血量百分比最低的队友回复{p1}点生命	100	0	res://asserts/image/ui/skill/default_10003.png
40003	3	复苏	每回合末，为血量百分比最低的队友回复{p1}点生命	150	0	res://asserts/image/ui/skill/default_10003.png
40003	4	复苏	每回合末，为血量百分比最低的队友回复{p1}点生命	220	0	res://asserts/image/ui/skill/default_10003.png
40003	5	复苏	每回合末，为血量百分比最低的队友回复{p1}点生命	320	0	res://asserts/image/ui/skill/default_10003.png
40004	1	汲取	每回合开始，标记一名敌方单位，该敌人受到伤害的{p1}%治疗自身	20	0	res://asserts/image/ui/skill/default_10004.png
40004	2	汲取	每回合开始，标记一名敌方单位，该敌人受到伤害的{p1}%治疗自身	30	0	res://asserts/image/ui/skill/default_10004.png
40004	3	汲取	每回合开始，标记一名敌方单位，该敌人受到伤害的{p1}%治疗自身	45	0	res://asserts/image/ui/skill/default_10004.png
40004	4	汲取	每回合开始，标记一名敌方单位，该敌人受到伤害的{p1}%治疗自身	60	0	res://asserts/image/ui/skill/default_10004.png
40004	5	汲取	每回合开始，标记一名敌方单位，该敌人受到伤害的{p1}%治疗自身	80	0	res://asserts/image/ui/skill/default_10004.png
40005	1	冲撞	普通攻击命中时有{p1}%概率晕眩目标一回合	20	0	res://asserts/image/ui/skill/default_10005.png
40005	2	冲撞	普通攻击命中时有{p1}%概率晕眩目标一回合	30	0	res://asserts/image/ui/skill/default_10005.png
40005	3	冲撞	普通攻击命中时有{p1}%概率晕眩目标一回合	45	0	res://asserts/image/ui/skill/default_10005.png
40005	4	冲撞	普通攻击命中时有{p1}%概率晕眩目标一回合	60	0	res://asserts/image/ui/skill/default_10005.png
40005	5	冲撞	普通攻击命中时有{p1}%概率晕眩目标一回合	75	0	res://asserts/image/ui/skill/default_10005.png
