id	name	slot	icon	atk_min	atk_max	def_min	def_max	hp_min	hp_max	speed_min	speed_max	crit_min	crit_max	dodge_min	dodge_max
53004	圣光之裤	pants	res://asserts/image/ui/equipment/paladin/pants.png	0	0	10	15	40	65	0	0	0	0	0	0
54004	圣光之靴	boots	res://asserts/image/ui/equipment/paladin/boots.png	0	0	4	7	0	0	4	7	0	0	50	100
56004	圣光之链	necklace	res://asserts/image/ui/equipment/paladin/necklace.png	0	0	5	8	30	50	0	0	0	0	50	100
57004	圣光之戒	ring	res://asserts/image/ui/equipment/paladin/ring.png	0	0	5	8	0	0	0	0	0	0	150	250
# ─── 神恩套装 (priest) ───
50005	神恩之杖	weapon	res://asserts/image/ui/equipment/priest/weapon.png	10	15	0	0	30	50	3	5	0	0	0	0
51005	神恩之冠	helmet	res://asserts/image/ui/equipment/priest/helmet.png	0	0	5	8	50	80	0	0	0	0	50	100
52005	神恩之袍	chest	res://asserts/image/ui/equipment/priest/chest.png	0	0	6	10	70	110	0	0	0	0	0	0
55005	神恩之手	gloves	res://asserts/image/ui/equipment/priest/gloves.png	0	0	0	0	25	40	3	5	0	0	50	100
53005	神恩之裤	pants	res://asserts/image/ui/equipment/priest/pants.png	0	0	5	8	45	70	0	0	0	0	0	0
54005	神恩之靴	boots	res://asserts/image/ui/equipment/priest/boots.png	0	0	0	0	0	0	7	11	0	0	100	200
56005	神恩之链	necklace	res://asserts/image/ui/equipment/priest/necklace.png	0	0	0	0	35	55	2	4	0	0	50	100
57005	神恩之戒	ring	res://asserts/image/ui/equipment/priest/ring.png	0	0	0	0	30	50	0	0	0	0	150	250
# ─── 磐岩套装 (guardian) ───
50006	磐岩之盾	weapon	res://asserts/image/ui/equipment/guardian/weapon.png	12	18	8	12	0	0	0	0	0	0	0	0
51006	磐岩之盔	helmet	res://asserts/image/ui/equipment/guardian/helmet.png	0	0	12	18	45	70	0	0	0	0	0	0
52006	磐岩之甲	chest	res://asserts/image/ui/equipment/guardian/chest.png	0	0	18	25	70	110	0	0	0	0	0	0
55006	磐岩之手	gloves	res://asserts/image/ui/equipment/guardian/gloves.png	0	0	8	12	20	35	0	0	0	0	50	100
53006	磐岩之裤	pants	res://asserts/image/ui/equipment/guardian/pants.png	0	0	12	18	45	70	0	0	0	0	0	0
54006	磐岩之靴	boots	res://asserts/image/ui/equipment/guardian/boots.png	0	0	5	8	0	0	3	6	0	0	100	200
56006	磐岩之链	necklace	res://asserts/image/ui/equipment/guardian/necklace.png	0	0	6	10	30	50	0	0	0	0	50	100
57006	磐岩之戒	ring	res://asserts/image/ui/equipment/guardian/ring.png	0	0	6	10	0	0	0	0	0	0	100	200
# ─── 奥术套装 (mage) ───
50007	奥术之杖	weapon	res://asserts/image/ui/equipment/mage/weapon.png	30	45	0	0	0	0	0	0	300	500	0	0
51007	奥术之冠	helmet	res://asserts/image/ui/equipment/mage/helmet.png	0	0	3	6	20	35	0	0	200	350	0	0
52007	奥术之袍	chest	res://asserts/image/ui/equipment/mage/chest.png	0	0	5	8	35	55	0	0	100	200	0	0
55007	奥术之手	gloves	res://asserts/image/ui/equipment/mage/gloves.png	5	8	0	0	0	0	0	0	250	400	0	0
53007	奥术之裤	pants	res://asserts/image/ui/equipment/mage/pants.png	0	0	4	7	25	40	0	0	50	100	0	0
54007	奥术之靴	boots	res://asserts/image/ui/equipment/mage/boots.png	0	0	0	0	0	0	6	10	150	300	0	0
56007	奥术之链	necklace	res://asserts/image/ui/equipment/mage/necklace.png	8	12	0	0	0	0	0	0	200	350	0	0
57007	奥术之戒	ring	res://asserts/image/ui/equipment/mage/ring.png	6	10	0	0	0	0	0	0	300	500	0	0
# ─── 邪能套装 (warlock) ───
50008	邪能之杖	weapon	res://asserts/image/ui/equipment/warlock/weapon.png	25	35	0	0	0	0	0	0	200	350	100	200
51008	邪能之盔	helmet	res://asserts/image/ui/equipment/warlock/helmet.png	0	0	4	7	25	40	0	0	50	100	150	250
52008	邪能之袍	chest	res://asserts/image/ui/equipment/warlock/chest.png	0	0	6	10	40	65	0	0	0	0	100	200
55008	邪能之手	gloves	res://asserts/image/ui/equipment/warlock/gloves.png	5	8	0	0	0	0	0	0	150	250	150	250
53008	邪能之裤	pants	res://asserts/image/ui/equipment/warlock/pants.png	0	0	4	7	30	50	0	0	0	0	150	250
54008	邪能之靴	boots	res://asserts/image/ui/equipment/warlock/boots.png	0	0	0	0	0	0	6	10	0	0	250	400
56008	邪能之链	necklace	res://asserts/image/ui/equipment/warlock/necklace.png	6	10	0	0	0	0	0	0	100	200	150	250
57008	邪能之戒	ring	res://asserts/image/ui/equipment/warlock/ring.png	5	8	0	0	0	0	0	0	150	250	200	350
