id	speaker	content
34	退游警告	都是打工人的痛
35	皮一下很开心	说点开心的吧
36	战神2024	打过最坑的一关是10108 全场AOE
37	战神2024	阵型一定要换成防御型
38	一刀999	10108 求带 我已经卡两天
39	战神2024	区几
40	一刀999	区5
41	风之子Lin	过来 我刚带完 还有体力
42	一刀999	哥哥好人卡
43	NekoMaster	我也想求10108带带
44	NekoMaster	我区3
45	咸鱼翻不了身	区3的进度都那么快了吗
46	NekoMaster	我已经卡了三周了 这一关怎么都打不过
47	老司机带带我	@NekoMaster 配什么阵 给看看
48	NekoMaster	锋矢 圣盾骑士+游侠+萨满+法师+锤手
49	老司机带带我	法师挪到后排 锤手前排
50	NekoMaster	懂了 试试看
51	拒绝氪金	这游戏让我有不充钱通关的欲望
52	玩游戏不充钱	+1 白嫖党万岁
53	拒绝Emo	白嫖玩家最快乐
54	肝帝养成中	白嫖+肝就完事了
55	咸鱼翻不了身	肝不动了
56	咸鱼翻不了身	下班想睡觉 上班想摸鱼
57	996社畜	真实写照
58	老王_233	打卡机吃了我一份青春
59	苦逼上班族	所以才需要游戏续命
60	皮一下很开心	要我说啊 还是要靠喝奶茶
61	喵了个咪	奶茶救我命
62	卷不动了	奶茶+游戏 完美
63	小破车冲鸭	加油兄弟们 周末就有福利活动了
64	月光骑士	@小破车冲鸭 啥福利
65	小破车冲鸭	官方说周末双倍木材掉率
66	战神2024	这个可以 周末爆肝
67	肝帝养成中	已经准备好体力药
68	咸鱼翻不了身	真的有人会肝周末吗
69	肝帝养成中	@咸鱼翻不了身 我啊
70	我是你哥	点名表扬一下
71	大佬别打我	周末不上线就是不正常
72	NekoMaster	过了 谢谢哥
73	老司机带带我	过了就好
74	NekoMaster	法师后排buff全队 真的稳
75	落落_dada	求10106带 萨满祭仪
76	落落_dada	求带 区4
77	阿giao哥	区4我有 来
78	落落_dada	giao哥救命
79	阿giao哥	一给我哩giaogiao
80	xX冷月Xx	冷月在此 求加好友
81	小白菜哈	加加加
82	喵了个咪	喵喵喵
83	大佬别打我	都加我都加我
84	别打我QAQ	孤独的萌新需要朋友
85	不咕咕的咕咕	+
86	反正都行	这游戏好友栏满了没
87	老王_233	好友栏好像50
88	ShadowWolf	够了够了 我才15个
89	996社畜	下班 哪里都不要去 直接回家上号
90	苦逼上班族	+1 公司食堂吃完直接溜
91	战神2024	刚清了10109 精英战团 哥布林锤手是真的肉
92	战神2024	推荐先解圣盾骑士 抗伤主力
93	一刀999	@战神2024 我刚解了游侠 暴击爆炸
94	战神2024	游侠出闪避堆 可以放C位
95	一刀999	懂了 谢谢
96	666带带我	求10109带 我求救
97	666带带我	区5
98	风之子Lin	区5 我体力还有
99	666带带我	666哥救命
100	风之子Lin	咱区5都把萌新接管了
101	王者归来1024	我回来了 各位
102	王者归来1024	半年没玩 这游戏变化好大
103	老王_233	欢迎回归
104	月光骑士	@王者归来1024 现在不光是建造了 还有战斗
105	王者归来1024	我看到了 难度怎么样
106	战神2024	后期挺肝的
107	王者归来1024	行 我先把建筑搞起来
108	皮一下很开心	兄弟你之前几区
109	王者归来1024	1区 资源应该还在
110	大佬别打我	羡慕老玩家有底子
111	小破车冲鸭	兄弟们速来 系统刚发体力补给
112	小破车冲鸭	点设置-福利领一下
113	战神2024	谢提醒 我都没注意
114	咸鱼翻不了身	老哥这是真的关心战友
115	小破车冲鸭	互相提醒就完事了
116	不咕咕的咕咕	咕咕
117	不咕咕的咕咕	说好的不咕的
118	皮一下很开心	又咕了
119	神秘海螺	海螺路过 凑个热闹
120	老司机带带我	又卡关了 10110 哥布林王座
121	老司机带带我	全员速度都比我快
122	战神2024	速度装备堆起来 还有阵型选择
123	老司机带带我	阵型选啥
124	战神2024	锋矢
125	老司机带带我	和默认一样
126	战神2024	那默认就是了
127	拒绝氪金	纯白嫖通10110 我自豪
128	玩游戏不充钱	@拒绝氪金 大佬带个 求带
129	拒绝氪金	区
130	玩游戏不充钱	区2
131	拒绝氪金	5分钟后上线
132	玩游戏不充钱	跪谢
133	Aurora_91	求一个能聊得来的好友
134	Aurora_91	我是夜猫子 半夜上线
135	Zzz瞌睡虫	@Aurora_91 一拍即合
136	Aurora_91	加我加我
137	Zzz瞌睡虫	已加
138	咸鱼翻不了身	夜猫子俱乐部
139	肝帝养成中	+1
140	996社畜	也算我一个
141	皮一下很开心	老板们 夜猫子专属群在哪
142	一只柠檬精	夜聊不Emo 群里都是开心的
143	卷不动了	我加一个
144	月光骑士	群主出来发个邀请
145	卡布奇诺_NoSugar	没群 都是说着玩的
146	老王_233	破灭
147	苦逼上班族	幻灭
148	小白菜哈	小白菜表示也想加群
149	小破车冲鸭	整个公会群吧
150	战神2024	公会群+1
151	战神2024	准备组个联盟 区5的过来
152	战神2024	名字就叫"摸鱼大队"
153	一刀999	报名
154	风之子Lin	+1
155	一刀999	这名字也太real了
156	666带带我	求收 求收
157	战神2024	都过来 申请发出
158	王者归来1024	1区也想组队 有没有大佬
159	老王_233	1区组个吧 我帮忙
160	王者归来1024	那就叫"复出特工队"
161	老王_233	可以
162	xX冷月Xx	3区呢 有没有
163	NekoMaster	@xX冷月Xx 加我 3区有
164	xX冷月Xx	冷月驾到
165	皮一下很开心	这个名字是要变身吗
166	xX冷月Xx	懂的都懂
167	阿giao哥	giao
168	哇靠就这	经典回应
169	落幕の樱	樱花要凋零了 你们说什么我都接不上
170	月光骑士	@落幕の樱 你的名字好诗意
171	落幕の樱	诗意但是没人打架
172	苦逼上班族	写诗的去诗社啊 这是游戏
173	落幕の樱	555
174	拒绝Emo	都是来开心的 别说555
175	落幕の樱	好的 我嘎嘎乐
176	皮一下很开心	这就对了
177	小破车冲鸭	求收单 转让矿石100
178	小破车冲鸭	要的私聊
179	战神2024	现在木头价格如何
180	小破车冲鸭	木头30一捆 矿石60一捆
181	战神2024	矿石我要50捆
182	小破车冲鸭	没问题 来吧
183	大佬别打我	这游戏还能交易吗
184	老王_233	@大佬别打我 还没开放 都是口头约定
185	大佬别打我	了解了 那刚才那是
186	战神2024	玩家自发的 信任为基础
187	大佬别打我	懂了
188	抓住了一只	喵 抓到隔壁猫了
189	喵了个咪	喵喵
190	666带带我	求带 求带 还是10108
191	战神2024	@666带带我 区
192	666带带我	区5
193	战神2024	5分钟后来 等我吃完饭
194	666带带我	大哥慢慢吃
195	风之子Lin	不慌
196	肝帝养成中	刚通10110 BOSS战刺激
197	战神2024	@肝帝养成中 攻略
198	肝帝养成中	先秒杀小怪 BOSS留最后慢慢磨
199	战神2024	懂 我也是这么打的
200	战神2024	关键是不要让BOSS暴击
201	小破车冲鸭	官方刚发公告 周末活动倒计时24小时 双倍木材掉率
202	战神2024	周末来了
203	肝帝养成中	周末爆肝时间
204	咸鱼翻不了身	周末睡觉时间
205	老王_233	@咸鱼翻不了身 名副其实
206	苦逼上班族	周末加班 我哭了
207	996社畜	抱抱
208	圣母玛丽鸭	不哭不哭 摸摸头
209	卷不动了	这游戏太治愈了
210	拒绝Emo	就是来治愈的
211	Tom_的猫	新人报道 求关照
212	月光骑士	@Tom_的猫 欢迎欢迎
213	Tom_的猫	这个聊天框真有意思
214	喵了个咪	喵 同好
215	Tom_的猫	喵喵兄弟你好
216	喵了个咪	喵喵
217	皮一下很开心	这俩是不是要喵到天荒地老
218	Tom_的猫	喵喵
219	喵了个咪	喵
220	拒绝Emo	太治愈了哈哈
221	战神2024	区5联盟"摸鱼大队"还差2人
222	风之子Lin	下班的兄弟们都过来
223	咸鱼翻不了身	报名
224	NekoMaster	区5的萌新可以收吗
225	战神2024	我们专门收萌新带飞
226	NekoMaster	那我必须来 不过我3区
227	战神2024	区不对 下次见
228	NekoMaster	遗憾
229	皮一下很开心	区限制是真的劝退
230	拒绝氪金	下次合区就好了
231	玩游戏不充钱	合区那才热闹
232	不会玩的萌新	大佬 怎么换阵型啊
233	老司机带带我	在主基地点击阵型按钮
234	不会玩的萌新	谢谢
235	老司机带带我	@不会玩的萌新 ID真实
236	不会玩的萌新	我也想叫战神2024 但是被占了
237	战神2024	@不会玩的萌新 抱歉哈
238	不会玩的萌新	没事没事
239	月光骑士	这个对话好和谐
240	皮一下很开心	游戏内的友情真朴实
241	苦逼上班族	打工人聚集地
242	小笨蛋鸭	我也是打工人 但我才18
243	996社畜	@小笨蛋鸭 18还在打工 真不容易
244	小笨蛋鸭	学生党暑期工
245	咸鱼翻不了身	能玩游戏比我们幸福多了
246	小笨蛋鸭	能赚钱的暑期工已经很难找了
247	大哥饶命	加油萌新 未来可期
248	小笨蛋鸭	谢谢哥
249	月光骑士	夜深了 困了
250	Zzz瞌睡虫	夜猫子时间到
251	Aurora_91	半夜的世界聊天最热闹
252	Aurora_91	白天大家上班 晚上才是真正的玩家时间
253	Zzz瞌睡虫	深有同感
254	肝帝养成中	深夜是肝帝的舞台
255	拒绝Emo	不Emo 但是要睡觉了
256	咸鱼翻不了身	咸鱼也要睡
257	卷不动了	躺平
258	战神2024	兄弟们晚安 明早再战
259	风之子Lin	晚安
260	月光骑士	月光骑士潜回月光
261	喵了个咪	喵喵晚安
262	Tom_的猫	喵 晚安
263	阿giao哥	giao 晚安
264	哇靠就这	太晚了 哇靠
265	皮一下很开心	不睡的举手
266	肝帝养成中	我我我
267	Aurora_91	+1 夜猫子在此
268	Zzz瞌睡虫	+1
269	AFK选手	挂机不算睡吧
270	皮一下很开心	好 那我也不睡了
271	苦逼上班族	明天还要上班 我先撤了
272	996社畜	+1 拜拜
273	卷不动了	+2 拜
274	退游警告	都说退游 又上线了
275	退游警告	真矛盾
276	不咕咕的咕咕	像我 说不咕又咕了
277	皮一下很开心	人生在世 真香警告
278	Aurora_91	半夜话题真多 但说得我好困
279	Zzz瞌睡虫	要不一起睡
280	Aurora_91	好啊 晚安
281	肝帝养成中	一个个都开始撤了
282	拒绝氪金	肝帝你也撤吧 别熬了
283	肝帝养成中	不行 还差一点周本
284	拒绝氪金	真肝啊
285	风之子Lin	刚起夜 还有人吗
286	肝帝养成中	@风之子Lin 我在
287	风之子Lin	这点起夜不正常 我去喝口水继续睡
288	肝帝养成中	肝爆爆肝爆爆
289	战神2024	又一夜过去 早安
290	老王_233	早 又上线了
291	996社畜	又是新的一天 班还得继续上
292	苦逼上班族	发自内心的不想上班
293	皮一下很开心	加油打工人
294	风之子Lin	早 又能玩了
295	喵了个咪	喵 早
296	Tom_的猫	喵喵早
297	阿giao哥	一给我哩giaogiao
298	Jojo奇妙旅程	新一天 老梗依旧
299	皮一下很开心	这就是世界聊天的魅力
300	月光骑士	大家继续 我去做日常了
